commodity,feature,importance
Onion,lag_2,0.0774371325969696
Onion,lag_1,0.0460832342505455
Onion,diff_1,0.04517686739563942
Onion,roll_median_7,0.04377495124936104
Onion,roll_range_7,0.0304508488625288
Onion,roll_mean_7,0.028663387522101402
Onion,diff_7,0.028424197807908058
Onion,lag_30,0.027081981301307678
Onion,month,0.026780670508742332
Onion,quarter,0.02503986842930317
Onion,roll_max_7,0.022817855700850487
Onion,is_weekend,0.02147604525089264
Onion,roll_min_30,0.020505748689174652
Onion,pct_change_1,0.020411890000104904
Onion,lag_3,0.02040129341185093
Onion,doy_cos,0.018515808507800102
Onion,week,0.01822808012366295
Onion,roll_range_30,0.017179707065224648
Onion,pct_change_30,0.016934994608163834
Onion,ema_7,0.016898250207304955
Onion,inflation_weekly,0.016891514882445335
Onion,ema_30,0.01617337577044964
Onion,roll_median_30,0.016106558963656425
Onion,lag1_over_ema_30,0.01555438619107008
Onion,inflation_monthly,0.015384184196591377
Onion,dow_sin,0.015210237354040146
Onion,roll_std_30,0.014578239992260933
Onion,pct_change_7,0.01457128208130598
Onion,roll_max_14,0.014224475249648094
Onion,inflation_annual,0.014071824960410595
Onion,month_sin,0.013763134367763996
Onion,doy_sin,0.013756307773292065
Onion,roll_std_7,0.013623333536088467
Onion,roll_mean_30,0.013220513239502907
Onion,roll_max_30,0.013128960505127907
Onion,dayofyear,0.012851324863731861
Onion,lag_7,0.012827123515307903
Onion,roll_min_14,0.012642893940210342
Onion,lag1_over_ema_7,0.012435873039066792
Onion,roll_range_14,0.012399657629430294
Onion,roll_median_14,0.011940380558371544
Onion,dayofweek,0.011684413999319077
Onion,roll_mean_14,0.011613060720264912
Onion,volatility_7,0.010976901277899742
Onion,month_cos,0.01082107238471508
Onion,day,0.010469475761055946
Onion,lag_14,0.0104590505361557
Onion,inflation_daily,0.010151207447052002
Onion,volatility_30,0.009184238500893116
Onion,roll_min_7,0.009147866629064083
Onion,roll_std_14,0.009105095639824867
Onion,dow_cos,0.008944297209382057
Onion,year,0.007294933777302504
Onion,log_return_1,0.0050793299451470375
Onion,is_month_start,0.004954655654728413
Onion,is_month_end,0.0024760167580097914
Potato,inflation_weekly,0.03594822809100151
Potato,roll_range_7,0.03522611781954765
Potato,lag_30,0.034417614340782166
Potato,roll_max_30,0.03224856033921242
Potato,pct_change_7,0.028013259172439575
Potato,diff_7,0.027531979605555534
Potato,roll_min_30,0.02681097202003002
Potato,pct_change_1,0.026103977113962173
Potato,roll_median_14,0.026036951690912247
Potato,log_return_1,0.02515498548746109
Potato,roll_max_14,0.025150885805487633
Potato,week,0.0246087908744812
Potato,lag_7,0.021757356822490692
Potato,roll_range_14,0.021627290174365044
Potato,roll_max_7,0.021043410524725914
Potato,dayofyear,0.02042759582400322
Potato,roll_std_14,0.019026441499590874
Potato,roll_std_7,0.019020816311240196
Potato,roll_median_30,0.01891997642815113
Potato,lag_2,0.018434559926390648
Potato,roll_range_30,0.01797906681895256
Potato,inflation_annual,0.01793927699327469
Potato,inflation_monthly,0.01764080859720707
Potato,roll_mean_30,0.01738027110695839
Potato,lag1_over_ema_30,0.017007222399115562
Potato,pct_change_30,0.01691986806690693
Potato,month,0.016739504411816597
Potato,year,0.016319910064339638
Potato,lag_1,0.016150111332535744
Potato,roll_mean_14,0.016119666397571564
Potato,diff_1,0.01601678505539894
Potato,volatility_7,0.015932317823171616
Potato,doy_sin,0.015820130705833435
Potato,volatility_30,0.01563737355172634
Potato,roll_mean_7,0.015382514335215092
Potato,dayofweek,0.014771698042750359
Potato,roll_std_30,0.0146042350679636
Potato,lag_3,0.014577161520719528
Potato,inflation_daily,0.014531252905726433
Potato,roll_median_7,0.014527494087815285
Potato,ema_30,0.014351306483149529
Potato,doy_cos,0.01428219024091959
Potato,ema_7,0.014106819406151772
Potato,dow_sin,0.013919858261942863
Potato,lag1_over_ema_7,0.013816638849675655
Potato,day,0.013505266979336739
Potato,lag_14,0.012854212895035744
Potato,month_sin,0.012745160609483719
Potato,roll_min_7,0.012185069732367992
Potato,is_month_end,0.01093717198818922
Potato,dow_cos,0.010369320400059223
Potato,roll_min_14,0.009915685281157494
Potato,is_weekend,0.009153387509286404
Potato,month_cos,0.008351467549800873
Potato,is_month_start,0.0
Potato,quarter,0.0
Soybean Oil,roll_median_14,0.1353243589401245
Soybean Oil,pct_change_7,0.07150385528802872
Soybean Oil,diff_7,0.04454610124230385
Soybean Oil,is_month_start,0.03548372536897659
Soybean Oil,log_return_1,0.02720588445663452
Soybean Oil,roll_range_30,0.02703326754271984
Soybean Oil,lag_7,0.022715380415320396
Soybean Oil,roll_mean_14,0.021771075204014778
Soybean Oil,roll_std_7,0.021523822098970413
Soybean Oil,roll_max_14,0.02094077132642269
Soybean Oil,pct_change_1,0.019906073808670044
Soybean Oil,volatility_7,0.018360035493969917
Soybean Oil,inflation_annual,0.01799575425684452
Soybean Oil,ema_7,0.0178978368639946
Soybean Oil,roll_std_14,0.0178401879966259
Soybean Oil,lag_1,0.01765405386686325
Soybean Oil,doy_sin,0.0174749456346035
Soybean Oil,dow_cos,0.0173936877399683
Soybean Oil,dayofyear,0.017386572435498238
Soybean Oil,roll_mean_7,0.01738542504608631
Soybean Oil,ema_30,0.016825808212161064
Soybean Oil,inflation_weekly,0.016531668603420258
Soybean Oil,year,0.01651136763393879
Soybean Oil,lag_30,0.01578928343951702
Soybean Oil,roll_range_14,0.015750078484416008
Soybean Oil,roll_range_7,0.015646111220121384
Soybean Oil,roll_max_30,0.014804039150476456
Soybean Oil,lag1_over_ema_7,0.01473273802548647
Soybean Oil,week,0.014621973969042301
Soybean Oil,dayofweek,0.014385784976184368
Soybean Oil,dow_sin,0.014032241888344288
Soybean Oil,lag1_over_ema_30,0.013139934279024601
Soybean Oil,doy_cos,0.0126823540776968
Soybean Oil,roll_max_7,0.012526210397481918
Soybean Oil,roll_median_7,0.012316600419580936
